League,day,date,time,home,away,Home xG,Away xG,Home Win,Draw,Away Win,Over 1.5,Over 2.5,BTTS
ENG Premier League,Sat,2023-10-21,12:30,Liverpool,Everton,2.453,0.693,0.767,0.141,0.092,0.815,0.609,0.45
ENG Premier League,Sat,2023-10-21,15:00,Bournemouth,Wolves,1.132,1.039,0.389,0.27,0.342,0.627,0.37,0.426
ENG Premier League,Sat,2023-10-21,15:00,Newcastle Utd,Crystal Palace,1.707,0.535,0.669,0.211,0.12,0.647,0.389,0.331
ENG Premier League,Sat,2023-10-21,15:00,Brentford,Burnley,2.983,0.721,0.83,0.105,0.065,0.88,0.715,0.483
ENG Premier League,Sat,2023-10-21,15:00,Manchester City,Brighton,2.862,1.095,0.743,0.136,0.122,0.9,0.756,0.622
ENG Premier League,Sat,2023-10-21,15:00,Nott'ham Forest,Luton Town,1.63,0.67,0.615,0.225,0.16,0.66,0.404,0.383
ENG Premier League,Sat,2023-10-21,17:30,Chelsea,Arsenal,0.908,1.613,0.222,0.228,0.55,0.707,0.461,0.467
ENG Premier League,Sat,2023-10-21,20:00,Sheffield Utd,Manchester Utd,0.786,2.373,0.113,0.153,0.734,0.816,0.611,0.487
ENG Premier League,Sun,2023-10-22,16:30,Aston Villa,West Ham,1.814,0.963,0.583,0.21,0.207,0.755,0.525,0.508
ENG Premier League,Mon,2023-10-23,20:00,Tottenham,Fulham,2.114,1.294,0.57,0.192,0.238,0.846,0.662,0.63
ENG Premier League,Fri,2023-10-27,20:00,Crystal Palace,Tottenham,1.241,1.353,0.353,0.242,0.405,0.72,0.48,0.516
ENG Championship,Sat,2023-10-21,15:00,Stoke City,Sunderland,1.139,1.406,0.301,0.273,0.426,0.726,0.468,0.517
ENG Championship,Sat,2023-10-21,15:00,West Brom,Plymouth Argyle,2.108,1.351,0.545,0.215,0.24,0.863,0.672,0.654
ENG Championship,Sat,2023-10-21,15:00,Watford,Sheffield Weds,1.54,0.376,0.664,0.251,0.084,0.574,0.301,0.249
ENG Championship,Sat,2023-10-21,15:00,Bristol City,Coventry City,1.086,1.147,0.336,0.297,0.366,0.658,0.386,0.457
